"","id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G01Q04","G01Q05","G01Q06","G02Q07","G02Q26_SQ001","G02Q26_SQ002","G02Q26_SQ003","G02Q26_SQ004","G02Q26_SQ005","G02Q26_SQ006","G02Q26_other","G02Q27","G02Q27_other","G01Q08","G01Q09","G02Q10","G02Q10_comment","G02Q11","G02Q11_comment","G02Q12","G02Q13","G03Q14","G03Q14_comment","G03Q15","G03Q15_comment","G01Q16","G01Q16_comment","G03Q17","G03Q17_comment","G03Q18_SQ001","G03Q18_SQ002","G03Q18_SQ003","G03Q18_SQ004","G03Q18_SQ005","G03Q18_SQ006","G03Q18_SQ007","G03Q18_other","G01Q19_SQ001","G01Q19_SQ002","G01Q19_SQ003","G01Q19_SQ004","G01Q19_SQ005","G01Q19_SQ006","G01Q19_other","G04Q20","G04Q20_comment","G04Q21","G04Q21_comment","G01Q22_SQ001","G01Q22_SQ001comment","G01Q22_SQ002","G01Q22_SQ002comment","G01Q22_SQ003","G01Q22_SQ003comment","G01Q23","G01Q23_comment","G01Q24","G01Q24_comment","G01Q25","G01Q25_comment"
"11",308,"1980-01-01 00:00:00",4,"en","40755612","female","45 to 54 years","Medical doctor","Consultant","> 20","Slovenia","Consultant","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","24h prior to surgery","No (please comment the reasons)","The patent must give written consent as well, on the day of hospitalisation","No (please comment the reasons)","Written consent as well is necessary","I don´t know the legal requirements","I don´t know","No (please comment)","A lot of patients do not used internet","Yes",NA,"No",NA,"Yes",NA,"Yes","Yes","Yes","Not selected","Not selected","Yes","Not selected",NA,"Yes","Yes","Yes","Yes","Yes","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","16","Yes",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"12",309,NA,1,"en","1339946195","female","45 to 54 years","Medical doctor","Consultant","10 - 20","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",310,"1980-01-01 00:00:00",4,"en","1301914904","male","55 to 64 years","Medical doctor","Consultant","> 20","Italy","Consultant","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery","24h prior to surgery","No (please comment the reasons)","Signature is needed","No (please comment the reasons)","Personal interview and signature needed ","No","No","No (please comment)",NA,"No (please comment)","Signature is needed","No",NA,"Yes",NA,"Not selected","Not selected","Not selected","Not selected","Yes","Yes","Not selected",NA,"Yes","Not selected","Yes","Not selected","Yes","Yes",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18","Not selected",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"14",311,"1980-01-01 00:00:00",4,"en","1800774782","male","35 to 44 years","Medical doctor","Resident","5 - 10","Ireland","Resident","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"Same day of the operation/procedure is sufficient enough","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","No (please comment)",NA,"Yes",NA,"Yes",NA,"No",NA,"Yes","Yes","Not selected","Not selected","Not selected","Yes","Not selected",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","16","Not selected",NA,"Not selected",NA,"No",NA,"No",NA,"Yes",NA
"15",312,NA,2,"en","716228557","male","35 to 44 years","Medical doctor","Consultant","10 - 20","Other","Resident","Yes","Not selected","Yes","Not selected","Not selected","Not selected","Nsqip","in person",NA,"2 days or more before surgery","2 days or more before surgery","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",313,NA,1,"en","1710610384","male","34 or younger","Medical doctor","Consultant","5 - 10","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",314,"1980-01-01 00:00:00",4,"en","1650607910","male","35 to 44 years","Medical doctor","Resident","10 - 20","Italy","other","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","2 days or more before surgery","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"No","No","No (please comment)",NA,"No (please comment)",NA,"No",NA,"No",NA,"Not selected","Yes","Yes","Not selected","Yes","Yes","Yes",NA,"Yes","Yes","Yes","Yes","Not selected","Not selected",NA,"Always both parents",NA,"Always both parents",NA,"Not selected",NA,"Yes",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"18",315,"1980-01-01 00:00:00",4,"en","659727463","male","45 to 54 years","Medical doctor","Other","10 - 20","Switzerland","other","Yes","Yes","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"Same day of the operation/procedure is sufficient enough","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","No (please comment)",NA,"Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Not selected","Yes","Yes",NA,"Yes","Not selected","Not selected","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18th","Not selected",NA,"Not selected",NA,"Yes",NA,"Yes",NA,"Yes",NA
"19",316,"1980-01-01 00:00:00",4,"en","1168694022","female","35 to 44 years","Medical doctor","Consultant","10 - 20","Serbia","Consultant","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"online via videoconference",NA,"24h prior to surgery","Same day of the operation/procedure is sufficient enough","No (please comment the reasons)","There is no such an option ","No (please comment the reasons)","There is no such an option ","No","No","No (please comment)","There is no infrastructure for such implementation ","No (please comment)",NA,"No",NA,"Yes",NA,"Yes","Yes","Not selected","Not selected","Yes","Not selected","Not selected",NA,"Yes","Yes","Yes","Yes","Yes","Not selected","Patients have a good explanation (written or video material) + video-call to discuss the issues ","Just the one, who is present",NA,"Just the one, who is present",NA,"Not selected",NA,"Yes","It is necessary that patient understand what are the risks and benefits of procedure acceptance / refuse ","Not selected",NA,"No",NA,"No",NA,"Yes",NA
"20",317,"1980-01-01 00:00:00",4,"en","1032330049","male","55 to 64 years","Medical doctor","Consultant","> 20","Germany","Resident","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","24h prior to surgery but often its far less because of daily routine practice","No (please comment the reasons)",NA,"Yes",NA,"No","No","Different (please comment)",NA,"No (please comment)",NA,"Yes",NA,"Yes",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","16","Yes",NA,"Not selected",NA,"Yes",NA,"No",NA,"No",NA
"21",318,"1980-01-01 00:00:00",4,"en","361123505","female","34 or younger","Medical doctor","Consultant","5 - 10","Germany","Resident","Yes","Yes","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery but often its far less because of daily routine practice","24h prior to surgery but often its far less because of daily routine practice","Yes",NA,"Yes",NA,"Yes","No","No (please comment)","We are not equipped sufficiently with hardware.","Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Not selected","Not selected","Not selected","Not selected","Not selected","There is no possibility for physical examination ","Yes","Yes","Yes","Not selected","Not selected","Yes",NA,"Always both parents",NA,"Just the one, who is present",NA,"Not selected",NA,"Yes",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"22",319,"1980-01-01 00:00:00",4,"en","1676863546","male","45 to 54 years","Medical doctor","Consultant","> 20","Germany","Resident","Yes","Not selected","Not selected","Not selected","Yes","Not selected","mallampati; MET","in person",NA,"2 days or more before surgery","24h prior to surgery but often its far less because of daily routine practice","No (please comment the reasons)",NA,"Yes",NA,"I don´t know the legal requirements","Yes","Yes",NA,"Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Yes","Yes","Yes","Yes","Yes",NA,"Always both parents",NA,"Just the one, who is present",NA,"Not selected",NA,"Yes",NA,"Not selected",NA,"Yes",NA,"No",NA,"No",NA
"23",320,NA,2,"en","877940591","female","35 to 44 years","Medical doctor","Consultant","10 - 20","Bosnia and Herzegovina","Consultant","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery","24h prior to surgery","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",321,"1980-01-01 00:00:00",4,"en","1151298842","male","55 to 64 years","Medical doctor","Consultant","> 20","Other","Consultant","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery but often its far less because of daily routine practice","2 days or more before surgery","Yes",NA,"No (please comment the reasons)","we routinely evaluate the patient prior to surgery in the anesthesia clinic . In covid situation electives got cancelled","Yes","Yes","No (please comment)","everyanesthesiologist prefer to interact directly in person with anesthesiologist","No (please comment)","as described above","No",NA,"No",NA,"Yes","Yes","Yes","Yes","Not selected","Yes","Yes",NA,"Yes","Not selected","Yes","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Not selected",NA,"Yes","in my place the child is always accompanied by responsible adult","Not selected",NA,"No",NA,"Yes",NA,"Yes",NA
"25",322,"1980-01-01 00:00:00",4,"en","1459671996","female","55 to 64 years","Medical doctor","Consultant","> 20","Spain","Consultant","Yes","Yes","Not selected","Not selected","Not selected","Not selected","Difficult airway score, ChasdsVasc, Chronic kidney disease","in person",NA,"2 days or more before surgery","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","No (please comment)",NA,"No (please comment)",NA,"Different (please comment)","I do not know","Yes",NA,"Not selected","Yes","Yes","Not selected","Yes","Yes","Not selected",NA,"Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18","Yes",NA,"Not selected",NA,"Different (please commment)",NA,"Yes",NA,"Yes",NA
"26",323,"1980-01-01 00:00:00",4,"en","1940172495","female","35 to 44 years","Medical doctor","Resident","< 5","Portugal","Consultant","Yes","Yes","Not selected","Not selected","Yes","Not selected",NA,"in person",NA,"2 days or more before surgery","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","Yes",NA,"Yes",NA,"No",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Not selected","Not selected","Yes",NA,"Yes","Yes","Yes","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Not selected",NA,"Not selected",NA,"Not selected",NA,"No",NA,"No",NA,"Yes",NA
"27",324,"1980-01-01 00:00:00",4,"en","211365486","female","45 to 54 years","Medical doctor","Consultant","10 - 20","Switzerland","Resident","Yes","Yes","Yes","Not selected","Not selected","Not selected",NA,NA,"Parient self-assesment prior to in-person evaluation","2 days or more before surgery","24h prior to surgery but often its far less because of daily routine practice","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","No","No (please comment)","No use of internet-based evaluations","Different (please comment)","After telephone assessment and oral consent, Patient signs written consent on arrival to hospital","No",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Not selected","Not selected","Not selected",NA,"Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"Just the one, who is present","We don’t do complex pediatric surgery. ","Just the one, who is present",NA,"Not selected",NA,"Yes",NA,"Not selected",NA,"Different (please commment)","Don’t know for elective surgery, but routinely done in emergency surgery ","No",NA,"No",NA
"28",325,"1980-01-01 00:00:00",4,"en","1023310331","male","35 to 44 years","Medical doctor","Consultant","10 - 20","Germany","Resident","Yes","Yes","Yes","Not selected","Yes","Not selected",NA,"in person",NA,"24h prior to surgery but often its far less because of daily routine practice","24h prior to surgery but often its far less because of daily routine practice","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","No","Yes",NA,"Yes",NA,"No",NA,"No",NA,"Yes","Yes","Yes","Not selected","Not selected","Yes","Not selected",NA,"Yes","Yes","Yes","Yes","Yes","Yes",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18","Yes",NA,"Not selected",NA,"Yes",NA,"No",NA,"No",NA
"29",326,"1980-01-01 00:00:00",4,"en","358364274","female","34 or younger","Medical doctor","Consultant","5 - 10","Germany","Resident","Yes","Yes","Yes","Not selected","Yes","Not selected",NA,"in person",NA,"24h prior to surgery","24h prior to surgery","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","No (please comment)","Sometimes, a legal guardian of a patient can not come to the hospital to sign the forms. In that case, we talk with the guardian via telephone and send him the forms via fax. He than has to sign the form and fax it back. Due to GDPR it is not possible to do this via e-mail, as the e-mail may not be secure enough. ","Yes","If possible in the combination with fax.","Yes",NA,"No","In some patients you would like to do a physical examination or write an ECG.","Yes","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Different (please comment)","If there is just one parent, he has to confirm, that the other parent agrees also. ","Different (please comment)","See above.","Yes","14","Yes",NA,"Not selected",NA,"Yes",NA,"No",NA,"No",NA
"30",327,NA,2,"en","1695350347","female","55 to 64 years","Medical doctor","Consultant","> 20","Turkey","Resident","Yes","Not selected","Yes","Not selected","Not selected","Not selected","mallampati","in person",NA,"2 days or more before surgery","24h prior to surgery","No (please comment the reasons)","as far as I know not legal, you have to let sign the patient in your presence","I do not know the legal requirements",NA,"No","I don´t know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",328,NA,1,"en","1645782542","male","55 to 64 years","Medical doctor","Consultant","> 20","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",329,"1980-01-01 00:00:00",4,"en","1543783728","female","45 to 54 years","Medical doctor","Consultant","10 - 20","Switzerland","Resident","Yes","Yes","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","24h prior to surgery","I do not know the legal requirements",NA,"Yes",NA,"I don´t know the legal requirements","I don´t know","No (please comment)","We don’t do that","Yes",NA,"No",NA,"Different (please comment)","for low risk surgery and healthy patients: yes","Yes","Not selected","Not selected","Not selected","Not selected","Not selected","Not selected","Difficulty to see the patients status, to see the little things which may make the difference ","Yes","Not selected","Yes","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","> 18","Yes","Only possible if the parents can’t be present and the ","Not selected",NA,"No",NA,"No",NA,"No",NA
"33",330,"1980-01-01 00:00:00",4,"en","1927286761","male","55 to 64 years","Medical doctor","Consultant","> 20","France","Consultant","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","2 days or more before surgery","No (please comment the reasons)","Not admitted by law","No (please comment the reasons)","Idem below","I don´t know the legal requirements","Yes","No (please comment)","Not in routine ","No (please comment)","Not allowed","No","Not allowed","No",NA,"Not selected","Not selected","Not selected","Not selected","Not selected","Yes","Not selected",NA,"Yes","Not selected","Not selected","Yes","Not selected","Not selected",NA,"Always both parents",NA,"Always both parents",NA,"Not selected",NA,"Not selected",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"34",331,NA,2,"en","182843717","female","34 or younger","Medical doctor","Resident","< 5","Cyprus","Resident","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery","24h prior to surgery","No (please comment the reasons)","A signature is needed ","No (please comment the reasons)",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",332,"1980-01-01 00:00:00",4,"en","1703178558","male","65 or older","Medical doctor","Consultant","> 20","Portugal","Consultant","Yes","Yes","Yes","Yes","Yes","Not selected",NA,"in person",NA,"Same day of the operation/procedure is sufficient enough","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","Yes",NA,"Yes",NA,"No",NA,"Yes",NA,"Not selected","Not selected","Not selected","Not selected","Yes","Not selected","Not selected",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Always both parents",NA,"Always both parents",NA,"Yes","16","Not selected",NA,"Not selected",NA,"No",NA,"Yes",NA,"Yes",NA
"36",333,NA,3,"en","1310353118","male","55 to 64 years","Medical doctor","Consultant","> 20","Netherlands","Anaesthesia technician","Yes","Not selected","Yes","Not selected","Yes","Not selected","MET","online via videoconference",NA,"24h prior to surgery","24h prior to surgery","Yes",NA,"Yes",NA,"Yes","Yes","Different (please comment)","just as a pilot","Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Yes","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Yes","Yes","Yes","Not selected","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",334,"1980-01-01 00:00:00",4,"en","1246831435","male","55 to 64 years","Medical doctor","Consultant","> 20","Other","Consultant","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"online via videoconference",NA,"2 days or more before surgery","Same day of the operation/procedure is sufficient enough","Yes",NA,"Yes",NA,"Yes","Yes","Yes",NA,"Yes",NA,"Yes",NA,"Yes",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Yes","Yes","Yes","Yes","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Not selected",NA,"Not selected",NA,"Yes","It is not valid in Saudi Arabia","Yes",NA,"Yes",NA,"Yes",NA
